Datum/Uhrzeit;774 [°C];774 [m/s];
10.08.25 19:28:09;22,1;7,68;
10.08.25 19:28:10;22,1;7,68;
10.08.25 19:28:11;22,1;7,68;
10.08.25 19:28:12;22,1;7,67;
10.08.25 19:28:13;22,1;7,68;
10.08.25 19:28:14;22,1;7,68;
10.08.25 19:28:15;22,1;7,67;
10.08.25 19:28:16;22,1;7,67;
10.08.25 19:28:17;22,1;7,68;
10.08.25 19:28:18;22,1;7,69;
10.08.25 19:28:19;22,1;7,67;
10.08.25 19:28:20;22,1;7,69;
10.08.25 19:28:21;22,1;7,68;
10.08.25 19:28:22;22,1;7,67;
10.08.25 19:28:23;22,1;7,66;
10.08.25 19:28:24;22,1;7,66;
10.08.25 19:28:25;22,1;7,66;
10.08.25 19:28:26;22,1;7,65;
10.08.25 19:28:27;22,1;7,64;
10.08.25 19:28:28;22,1;7,65;
10.08.25 19:28:29;22,0;7,65;
10.08.25 19:28:30;22,0;7,67;
10.08.25 19:28:31;22,0;7,65;
10.08.25 19:28:32;22,0;7,64;
10.08.25 19:28:33;22,0;7,66;
10.08.25 19:28:34;22,0;7,65;
10.08.25 19:28:35;22,0;7,65;
10.08.25 19:28:36;22,0;7,66;
10.08.25 19:28:37;22,0;7,65;
10.08.25 19:28:38;22,0;7,66;
10.08.25 19:28:39;22,0;7,65;
10.08.25 19:28:40;22,0;7,65;
10.08.25 19:28:41;22,0;7,64;
10.08.25 19:28:42;22,0;7,65;
10.08.25 19:28:43;22,0;7,64;
10.08.25 19:28:44;22,0;7,66;
10.08.25 19:28:45;22,0;7,67;
10.08.25 19:28:46;22,0;7,65;
10.08.25 19:28:47;22,0;7,66;
10.08.25 19:28:48;22,0;7,64;
10.08.25 19:28:49;22,0;7,66;
10.08.25 19:28:50;22,0;7,65;
10.08.25 19:28:51;22,0;7,64;
10.08.25 19:28:52;22,0;7,65;
10.08.25 19:28:53;22,0;7,64;
10.08.25 19:28:54;22,0;7,64;
10.08.25 19:28:55;22,0;7,63;
10.08.25 19:28:56;22,0;7,66;
10.08.25 19:28:57;22,0;7,65;
10.08.25 19:28:58;22,0;7,65;
10.08.25 19:28:59;22,0;7,67;
10.08.25 19:29:00;22,0;7,65;
10.08.25 19:29:01;22,0;7,66;
10.08.25 19:29:02;22,0;7,66;
10.08.25 19:29:03;22,0;7,66;
10.08.25 19:29:04;22,0;7,64;
10.08.25 19:29:05;22,0;7,64;
10.08.25 19:29:06;22,0;7,66;
10.08.25 19:29:07;22,0;7,65;
10.08.25 19:29:08;22,0;7,65;
10.08.25 19:29:09;22,0;7,65;
Durchschnitt gesamt;22,0;7,66;
Minimum gesamt;22,0;7,63;
Maximum gesamt;22,1;7,69;

< Allgemeine Informationen >
App-Version;Name Messprogramm;Messdatum;Kommentar;
28.13.10.88198;Standardansicht;10.08.25 19:29:11;;

< Unternehmen >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;Fax;Homepage Adresse;
;;;;;;;;;;

< Kunde >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;
;;;;;;;;

< Geräte >
Name;Seriennummer;Firmware-Version;Messgrößen;
testo 405i;48911774;1.101.1;Temperatur;
testo 405i;48911774;1.101.1;Strömungsgeschwindigkeit;

< Messstelle >
Name;Anlagennummer;Anlagentyp;Anlagenhersteller;Seriennummer der Anlage;Herstellungsdatum;Notizen;
;;;;;;;

< Messparameter >
Messmodus;Messtakt;Startzeit;Ende;Dauer;
Zeitlich;1 Sek;10.08.25 19:28:09;10.08.25 19:29:09;1 Min 0 Sek;

< Grafikausschnitte >
Name

< Bilder >
Name

